端口,主模块,子模块,功能描述
用户端,注册/登录,手机号验证码登录,支持微信授权快速获取手机号（需开通微信小程序手机号组件）；
用户端,注册/登录,手机号验证码登录,登录状态保持：30 天免登录，过期自动退出；
用户端,注册/登录,手机号验证码登录,首次登录自动完成注册，无需额外填写信息。
用户端,乐器展示,乐器分类,一级分类：钢琴、吉他、古筝、小提琴等；
用户端,乐器展示,乐器分类,二级分类：按品牌（雅马哈、卡马等）、按类型（立式钢琴 / 三角钢琴、木吉他 / 电吉他等）；
用户端,乐器展示,乐器分类,分类支持自定义排序，可隐藏 / 显示指定分类。
用户端,乐器展示,乐器列表,展示核心信息：乐器名称、首图、租金（日 / 月）、押金、库存状态；
用户端,乐器展示,乐器列表,筛选功能：按租金区间、品牌、租期类型、库存（有货 / 无货）；
用户端,乐器展示,乐器列表,排序功能：按租金从低到高 / 从高到低、按上新时间。
用户端,乐器展示,乐器详情,基础信息：名称、品牌、型号、材质、尺寸、适用人群；
用户端,乐器展示,乐器详情,多媒体：多图轮播（支持放大查看）、视频介绍（可选）；
用户端,乐器展示,乐器详情,规格 / 租金：
用户端,乐器展示,乐器详情,不同规格（如钢琴尺寸）对应不同租金 / 押金；
用户端,乐器展示,乐器详情,明确标注日租 / 周租 / 月租单价（周租 = 日租 ×6，月租 = 日租 ×25 等优惠规则可配置）；
用户端,乐器展示,乐器详情,库存：实时显示可租赁数量，无货时标注 “暂无可租”；
用户端,乐器展示,乐器详情,配送服务：门店自提和线下闪送；
用户端,乐器展示,乐器详情,用户评价：展示租赁 / 使用评价（评分、文字、图片）；
用户端,租赁功能,租赁下单,租期选择：日租（1-30 天）、周租（1-4 周）、月租（1-12 月），支持自定义租期天数；
用户端,租赁功能,租赁下单,押金规则：
用户端,租赁功能,租赁下单,按乐器定价的固定比例（如 50%）或固定金额收取；
用户端,租赁功能,租赁下单,明确标注押金退还条件（无损坏、按时归还）；
用户端,租赁功能,租赁下单,租金计算：自动计算总租金 = 租期 × 对应单价，显示优惠（如长租折扣）；
用户端,租赁功能,租赁下单,配送方式：
用户端,租赁功能,租赁下单,上门配送（选择地址，标注配送费 / 免费配送范围）；
用户端,租赁功能,租赁下单,到店自取（显示门店地址、营业时间）；
用户端,租赁功能,租赁下单,订单确认：展示租金、押金、配送费、总金额，确认无误后提交；
用户端,租赁功能,租赁下单,支付：支持微信支付，先支付租金 + 押金（全额），支付超时（15 分钟）订单自动取消。
用户端,租赁功能,续租功能,订单未到期时，在 “我的订单” 中发起续租申请；
用户端,租赁功能,续租功能,选择续租时长，系统自动计算续租租金，确认后支付；
用户端,租赁功能,续租功能,续租后，订单到期时间同步更新，押金无需重复支付；
用户端,租赁功能,续租功能,续租申请需管理员审核（或自动通过）。
用户端,租赁功能,归还申请,订单未到期 / 到期后，发起归还申请；
用户端,租赁功能,归还申请,选择归还方式：上门取琴（标注取琴费）、到店归还；
用户端,租赁功能,归还申请,填写归还备注（如乐器状态），提交后等待管理员确认；
用户端,租赁功能,归还申请,管理员确认后，生成归还单，记录归还时间 / 地点。
用户端,租赁功能,到期提醒,订单到期前 3 天、1 天，通过小程序消息提醒用户；
用户端,租赁功能,到期提醒,逾期提醒：到期未归还，每逾期 1 天按日租 1.5 倍收取滞纳金，实时推送提醒；
用户端,租赁功能,到期提醒,逾期超过 7 天，系统自动触发风控提醒（后台同步提示）。
用户端,乐器维护/维修功能,维修/保养套餐,套餐分类：保养套餐（钢琴调律、吉他换弦等）、维修套餐（故障维修、零件更换等）；
用户端,乐器维护/维修功能,维修/保养套餐,套餐展示：名称、价格、服务内容、时长、适用乐器类型；
用户端,乐器维护/维修功能,维修/保养套餐,自定义报价：无对应套餐时，支持 “自定义维修”（仅填写故障，后续管理员报价）。
用户端,乐器维护/维修功能,维修预约,选择服务类型：保养 / 维修；
用户端,乐器维护/维修功能,维修预约,选择乐器类型、具体型号（可选）；
用户端,乐器维护/维修功能,维修预约,填写故障描述：文字 + 图片 / 视频（最多 5 张图 / 1 个视频）；
用户端,乐器维护/维修功能,维修预约,选择服务方式：
用户端,乐器维护/维修功能,维修预约,上门取送琴（填写地址，标注取送费）；
用户端,乐器维护/维修功能,维修预约,到店送修（选择门店，填写到店时间）；
用户端,乐器维护/维修功能,维修预约,选择预约时间：精确到日期 + 时段（如 9:00-12:00），展示可预约时段；
用户端,乐器维护/维修功能,维修预约,提交预约：生成预约单，等待管理员接单。
用户端,乐器维护/维修功能,维修进度查看,进度状态：待接单→待取琴→维修中→待报价→待确认→维修完成→待归还；
用户端,乐器维护/维修功能,维修进度查看,实时更新：管理员操作后同步至小程序，显示操作时间、操作人员（匿名 / 实名）；
用户端,乐器维护/维修功能,维修进度查看,进度备注：管理员可添加维修说明（如 “需更换琴弦，预计 1 天完成”）。
用户端,乐器维护/维修功能,报价确认,管理员提交报价后，小程序推送报价提醒；
用户端,乐器维护/维修功能,报价确认,展示报价明细：人工费、零件费、其他费用，总金额；
用户端,乐器维护/维修功能,报价确认,用户操作：确认报价（进入支付环节）、拒绝报价（填写拒绝理由，取消预约）；
用户端,乐器维护/维修功能,报价确认,支付：确认报价后支付维修费用（支持微信支付），支付完成后管理员开始维修。
用户端,订单中心,订单分类,租赁订单：全部、待支付、待取琴、租赁中、待归还、已完成、已取消；
用户端,订单中心,订单分类,维修订单：全部、待接单、待取琴、维修中、待报价、待支付、已完成、已取消；
用户端,订单中心,订单分类,支持按时间筛选（近 7 天 / 近 30 天 / 全部）、按订单号搜索。
用户端,订单中心,订单详情,基础信息：订单号、下单时间、订单状态；
用户端,订单中心,订单详情,租赁订单：乐器信息、租期、租金、押金、配送方式、支付金额、支付时间；
用户端,订单中心,订单详情,维修订单：乐器信息、服务类型、故障描述、报价金额、维修进度、完成时间；
用户端,订单中心,订单详情,支付信息：支付方式（微信支付）、支付金额、支付时间、交易单号；
用户端,订单中心,订单详情,退款信息：退款金额、退款原因、退款时间、退款状态（如有）；
